snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization
8,1995_2006,8,1,0.0015089724360038443,0.18829205752417366,0.7653,0.5023,748,343,5436,5841
8,1995_2006,10,1,0.001823244959023637,0.1847186596936965,0.7473,0.5014,726,339,5436,5823
8,1995_2006,2,2,0.00018877573887595453,0.5470593506468341,0.9009,0.5020,13,1918,5436,3531
8,1995_2006,4,2,0.0005694171777517272,0.2006381102912671,0.8355,0.5010,776,389,5436,5823
8,1995_2006,6,2,0.001022308573722382,0.1896854466990425,0.7935,0.5019,763,342,5436,5857
8,1995_2006,8,2,0.0014055071105831898,0.1966121760928687,0.7668,0.5024,723,401,5436,5758
8,1995_2006,10,2,0.0018691005678369837,0.1854728580400829,0.7497,0.5019,747,328,5436,5855
8,1995_2006,2,3,1,1,0,1,580,1919,5436,4097
8,1995_2006,4,3,0.0005488169401061377,0.20775602414731334,0.8376,0.5000,833,386,5436,5883
8,1995_2006,6,3,0.0010038489861899104,0.1943984693471024,0.7928,0.5037,787,349,5436,5874
8,1995_2006,8,3,0.0013774344114927102,0.18500879617215293,0.7637,0.5034,724,344,5436,5816
8,1995_2006,10,3,0.0019476604608435,0.19453118328750083,0.7541,0.5028,691,410,5436,5717
8,1995_2006,2,4,1,1,0,1,1938,1908,5436,5466
8,1995_2006,4,4,0.0005976965964044277,0.2103819670227676,0.8372,0.5009,843,392,5436,5887
8,1995_2006,6,4,0.0010325371653740567,0.19440459046226508,0.7930,0.5023,775,357,5436,5854
8,1995_2006,8,4,0.001460575758191859,0.1902572562561172,0.7645,0.5032,720,372,5436,5784
8,1995_2006,10,4,0.0019290462138293438,0.18303140841855375,0.7517,0.5030,732,326,5436,5842
9,2007_2017,2,1,0.0001719440243131786,0.5374336424645212,0.9004,0.5025,0,1860,5322,3462
9,2007_2017,4,1,0.0005530498895115711,0.2038305952172661,0.8369,0.5017,790,376,5322,5736
9,2007_2017,6,1,0.0009655261704687658,0.19370295633806653,0.7924,0.5004,755,349,5322,5728
9,2007_2017,8,1,0.0014931232064874815,0.19202774196196515,0.7629,0.4999,735,352,5322,5705
9,2007_2017,10,1,0.0019599020968787072,0.18500957212119268,0.7477,0.5026,745,309,5322,5758
9,2007_2017,2,2,0.00018082046229352824,0.5401519604334335,0.8998,0.4997,7,1864,5322,3465
9,2007_2017,4,2,0.0005488011679399016,0.20082624177830924,0.8355,0.5012,800,355,5322,5767
9,2007_2017,6,2,0.0010668028508917097,0.19561321082152622,0.7915,0.5026,756,357,5322,5721
9,2007_2017,8,2,0.001464597573177467,0.18557243723263117,0.7634,0.5011,677,361,5322,5638
9,2007_2017,10,2,0.002013926524471527,0.1897008218630819,0.7462,0.5011,715,352,5322,5685
9,2007_2017,2,3,1,1,0,1,546,1864,5322,4004
9,2007_2017,4,3,0.0005936629506162767,0.2021278331040333,0.8344,0.5012,785,371,5322,5736
9,2007_2017,6,3,0.001072706483272436,0.19429187271748796,0.7914,0.5004,788,329,5322,5781
9,2007_2017,8,3,0.001399214473285407,0.19125048306471149,0.7650,0.5008,739,346,5322,5715
9,2007_2017,10,3,0.0018236849252850108,0.18830017726548573,0.7460,0.5017,708,351,5322,5679
9,2007_2017,2,4,1,1,0,1,1938,1819,5322,5441
9,2007_2017,4,4,0.0005410078073341443,0.20750292405754955,0.8362,0.5007,841,360,5322,5803
9,2007_2017,6,4,0.0010327618219198081,0.19374474500341946,0.7907,0.5024,743,357,5322,5708
9,2007_2017,8,4,0.0013906252066769862,0.1942377500313614,0.7667,0.5022,741,359,5322,5704
9,2007_2017,10,4,0.0019478953970708936,0.17850131909008268,0.7463,0.5028,681,322,5322,5681
