data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges,fake+discarded
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.236800704660699,0.23593892936406,0.237662479957338,0.0127245608548461,41,3491,5907,32804,4528,3532,7425,38711,1,8,1,1037,1518,1078
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.17756210565636,0.177337341369773,0.177786869942945,0.0147010279340509,54,3688,5865,11822,4429,3742,7145,17687,1,4,1,741,1280,795
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.0861955711559525,0.0861039914388453,0.0862871508730592,0.000101279727530143,0,4097,6616,4081,4483,4097,7287,10697,1,2,1,386,671,386
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.255536326047174,0.254361158185404,0.256711493908944,0.0161944431633841,54,3635,6615,49946,4821,3689,8604,56561,1,10,1,1186,1989,1240
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.203001260277636,0.202437809737199,0.20356471081807,0.0127713281345385,44,3601,5872,21770,4471,3645,7242,27642,1,6,1,870,1370,914
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.254843259442219,0.253720638922759,0.255965879961679,0.0142202313796155,44,3412,5721,41773,4528,3456,7425,47494,1,10,1,1116,1704,1160
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.203380470252818,0.202784715265826,0.203976225239807,0.0127851506078756,44,3609,5913,22002,4483,3653,7287,27915,1,6,1,874,1374,918
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.295016937863742,0.293936514087954,0.296097361639532,0.0155273108390351,45,3166,5333,38835,4439,3211,7178,44168,1,10,1,1273,1845,1318
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.301119309853239,0.300042706389015,0.302195913317464,0.0145604644311579,45,3406,6254,47483,4821,3451,8604,53737,1,10,1,1415,2350,1460
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.29648644370904,0.295430483299865,0.297542404118215,0.0156898465604882,46,3191,5329,39083,4483,3237,7287,44412,1,10,1,1292,1958,1338
