snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization,fake+discarded
5,1956_1968,2,2,0.000126143451500233,0.262190800643442,0.9582,0.4914,1678,0,4725,6403,1678
5,1956_1968,4,2,0.000674684081082241,0.200793331500501,0.8285,0.5016,672,340,4725,5057,1012
5,1956_1968,6,2,0.0011291547960482,0.194822848489742,0.7829,0.5037,685,304,4725,5106,989
5,1956_1968,8,2,0.00157803088653753,0.19297967988536,0.7574,0.4998,672,303,4725,5094,975
5,1956_1968,10,2,0.00208806038754815,0.186089648319267,0.737,0.5018,620,307,4725,5038,927
5,1956_1968,2,3,1,1,0,1,508,1667,4725,3566,2175
5,1956_1968,4,3,0.000638193155024999,0.199199064411346,0.8286,0.5015,719,302,4725,5142,1021
5,1956_1968,6,3,0.00114913133371277,0.18797735099367,0.7816,0.502,674,282,4725,5117,956
5,1956_1968,8,3,0.00163805538904084,0.18802858793342,0.757,0.5017,645,300,4725,5070,945
5,1956_1968,10,3,0.00198713018566781,0.174973838551579,0.7388,0.5013,638,247,4725,5116,885
5,1956_1968,2,4,1,1,0,1,1700,1622,4725,4803,3322
5,1956_1968,4,4,0.000629540698239893,0.208062893490612,0.8312,0.4998,740,326,4725,5139,1066
5,1956_1968,6,4,0.00114684624463486,0.195080310041112,0.7832,0.5014,688,303,4725,5110,991
5,1956_1968,8,4,0.00171952957834706,0.188913576964288,0.7555,0.5004,669,287,4725,5107,956
5,1956_1968,10,4,0.00197645001558722,0.182358665304199,0.7371,0.5013,664,261,4725,5128,925
6,1969_1981,2,1,0.000118118274400306,0.258954358434919,0.9578,0.4931,1677,0,4802,6479,1677
6,1969_1981,4,1,0.000656337416556918,0.199730411490631,0.8292,0.504,707,325,4802,5184,1032
6,1969_1981,6,1,0.00110869934527454,0.197953032614468,0.7857,0.5026,709,314,4802,5197,1023
6,1969_1981,8,1,0.00169764745696378,0.187058676141435,0.7557,0.503,595,342,4802,5055,937
6,1969_1981,10,1,0.00227426642159631,0.172549281050034,0.7391,0.5026,599,274,4802,5127,873
6,1969_1981,2,2,0.000121945372225436,0.258041895920827,0.9571,0.4941,1669,0,4802,6471,1669
6,1969_1981,4,2,0.000640139511542293,0.200408970180007,0.8293,0.5015,713,324,4802,5191,1037
6,1969_1981,6,2,0.00107217111490266,0.194171563390927,0.7819,0.5016,642,343,4802,5101,985
6,1969_1981,8,2,0.0016793968794048,0.191142811513551,0.7562,0.5018,647,324,4802,5125,971
6,1969_1981,10,2,0.00209562639538475,0.177951691398287,0.7359,0.5021,638,271,4802,5169,909
6,1969_1981,2,3,1,1,0,1,515,1688,4802,3629,2203
6,1969_1981,4,3,0.000583086569615956,0.204024769169998,0.8307,0.5015,746,318,4802,5230,1064
6,1969_1981,6,3,0.00108700470398979,0.191092815279237,0.7828,0.5035,671,310,4802,5163,981
6,1969_1981,8,3,0.00168766009367015,0.191043618443072,0.7557,0.501,683,299,4802,5186,982
6,1969_1981,10,3,0.00214299620005264,0.182542126806652,0.7381,0.5021,586,327,4802,5061,913
6,1969_1981,2,4,1,1,0,1,1693,1681,4802,4814,3374
6,1969_1981,4,4,0.000616564805163393,0.207532772291388,0.8296,0.4997,775,314,4802,5263,1089
6,1969_1981,6,4,0.0011409166487072,0.194453752928492,0.7857,0.5008,704,302,4802,5204,1006
6,1969_1981,8,4,0.00149734043541939,0.189654722593581,0.7567,0.502,649,317,4802,5134,966
6,1969_1981,10,4,0.00202859030120789,0.190682174913603,0.7411,0.5017,658,313,4802,5147,971
7,1982_1994,2,1,0.000116692439211961,0.264229005981183,0.9597,0.4942,1806,0,5032,6838,1806
7,1982_1994,4,1,0.00061736776441828,0.202897617856364,0.8333,0.502,753,347,5032,5438,1100
7,1982_1994,6,1,0.00108790435382804,0.192136545004836,0.7875,0.5039,704,329,5032,5407,1033
7,1982_1994,8,1,0.00166044296875712,0.183681245346172,0.7615,0.501,666,314,5032,5384,980
7,1982_1994,10,1,0.00207643336011449,0.180385603008015,0.7426,0.5012,613,334,5032,5311,947
7,1982_1994,2,2,0.000120210760026515,0.261206848058118,0.9593,0.4937,1778,0,5032,6810,1778
7,1982_1994,4,2,0.000605422447996903,0.202379258368174,0.8331,0.5019,736,356,5032,5412,1092
7,1982_1994,6,2,0.00106871792892521,0.193114381710917,0.7884,0.5014,721,322,5032,5431,1043
7,1982_1994,8,2,0.00155302024088453,0.184976175788181,0.7601,0.5027,668,319,5032,5381,987
7,1982_1994,10,2,0.00211110845697167,0.183996780320372,0.7436,0.501,668,312,5032,5388,980
7,1982_1994,2,3,1,1,0,1,535,1772,5032,3795,2307
7,1982_1994,4,3,0.000579852407907237,0.206597096950193,0.8339,0.5009,771,352,5032,5451,1123
7,1982_1994,6,3,0.00105998922825726,0.190756401371772,0.7878,0.5016,717,314,5032,5435,1031
7,1982_1994,8,3,0.00154479501246885,0.191385358601642,0.7624,0.5021,693,331,5032,5394,1024
7,1982_1994,10,3,0.00198529856323187,0.18569637282157,0.7418,0.501,696,301,5032,5427,997
7,1982_1994,2,4,1,1,0,1,1766,1773,5032,5025,3539
7,1982_1994,4,4,0.00056966001149864,0.209016774520874,0.8332,0.5008,803,342,5032,5493,1145
7,1982_1994,6,4,0.0011114827118995,0.192836639712269,0.787,0.5008,710,328,5032,5414,1038
7,1982_1994,8,4,0.00152199790833793,0.18691420957221,0.7624,0.5022,665,330,5032,5367,995
7,1982_1994,10,4,0.00191960336783882,0.182314683502017,0.7436,0.5021,651,317,5032,5366,968
8,1995_2006,2,1,0.000119173180140717,0.25871164453857,0.9584,0.4946,1896,0,5436,7332,1896
8,1995_2006,4,1,0.000598864000506744,0.205946824233623,0.8365,0.5019,798,400,5436,5834,1198
8,1995_2006,6,1,0.000963949949704994,0.195626967397533,0.7916,0.502,774,364,5436,5846,1138
8,1995_2006,8,1,0.00150897243600384,0.188292057524174,0.7653,0.5023,748,343,5436,5841,1091
8,1995_2006,10,1,0.00182324495902364,0.184718659693697,0.7473,0.5014,726,339,5436,5823,1065
8,1995_2006,2,2,0.000113890360359436,0.259716178565208,0.9586,0.4945,1906,0,5436,7342,1906
8,1995_2006,4,2,0.000569417177751727,0.200638110291267,0.8355,0.501,776,389,5436,5823,1165
8,1995_2006,6,2,0.00102230857372238,0.189685446699042,0.7935,0.5019,763,342,5436,5857,1105
8,1995_2006,8,2,0.00140550711058319,0.196612176092869,0.7668,0.5024,723,401,5436,5758,1124
8,1995_2006,10,2,0.00186910056783698,0.185472858040083,0.7497,0.5019,747,328,5436,5855,1075
8,1995_2006,2,3,1,1,0,1,580,1919,5436,4097,2499
8,1995_2006,4,3,0.000548816940106138,0.207756024147313,0.8376,0.5,833,386,5436,5883,1219
8,1995_2006,6,3,0.00100384898618991,0.194398469347102,0.7928,0.5037,787,349,5436,5874,1136
8,1995_2006,8,3,0.00137743441149271,0.185008796172153,0.7637,0.5034,724,344,5436,5816,1068
8,1995_2006,10,3,0.0019476604608435,0.194531183287501,0.7541,0.5028,691,410,5436,5717,1101
8,1995_2006,2,4,1,1,0,1,1938,1908,5436,5466,3846
8,1995_2006,4,4,0.000597696596404428,0.210381967022768,0.8372,0.5009,843,392,5436,5887,1235
8,1995_2006,6,4,0.00103253716537406,0.194404590462265,0.793,0.5023,775,357,5436,5854,1132
8,1995_2006,8,4,0.00146057575819186,0.190257256256117,0.7645,0.5032,720,372,5436,5784,1092
8,1995_2006,10,4,0.00192904621382934,0.183031408418554,0.7517,0.503,732,326,5436,5842,1058
9,2007_2017,2,1,0.000113746139453791,0.258888119398507,0.9581,0.4949,1858,0,5322,7180,1858
9,2007_2017,4,1,0.000553049889511571,0.203830595217266,0.8369,0.5017,790,376,5322,5736,1166
9,2007_2017,6,1,0.000965526170468766,0.193702956338067,0.7924,0.5004,755,349,5322,5728,1104
9,2007_2017,8,1,0.00149312320648748,0.192027741961965,0.7629,0.4999,735,352,5322,5705,1087
9,2007_2017,10,1,0.00195990209687871,0.185009572121193,0.7477,0.5026,745,309,5322,5758,1054
9,2007_2017,2,2,0.00010979514701208,0.259812118140474,0.958,0.4952,1867,0,5322,7189,1867
9,2007_2017,4,2,0.000548801167939902,0.200826241778309,0.8355,0.5012,800,355,5322,5767,1155
9,2007_2017,6,2,0.00106680285089171,0.195613210821526,0.7915,0.5026,756,357,5322,5721,1113
9,2007_2017,8,2,0.00146459757317747,0.185572437232631,0.7634,0.5011,677,361,5322,5638,1038
9,2007_2017,10,2,0.00201392652447153,0.189700821863082,0.7462,0.5011,715,352,5322,5685,1067
9,2007_2017,2,3,1,1,0,1,546,1864,5322,4004,2410
9,2007_2017,4,3,0.000593662950616277,0.202127833104033,0.8344,0.5012,785,371,5322,5736,1156
9,2007_2017,6,3,0.00107270648327244,0.194291872717488,0.7914,0.5004,788,329,5322,5781,1117
9,2007_2017,8,3,0.00139921447328541,0.191250483064712,0.765,0.5008,739,346,5322,5715,1085
9,2007_2017,10,3,0.00182368492528501,0.188300177265486,0.746,0.5017,708,351,5322,5679,1059
9,2007_2017,2,4,1,1,0,1,1938,1819,5322,5441,3757
9,2007_2017,4,4,0.000541007807334144,0.20750292405755,0.8362,0.5007,841,360,5322,5803,1201
9,2007_2017,6,4,0.00103276182191981,0.193744745003419,0.7907,0.5024,743,357,5322,5708,1100
9,2007_2017,8,4,0.00139062520667699,0.194237750031361,0.7667,0.5022,741,359,5322,5704,1100
9,2007_2017,10,4,0.00194789539707089,0.178501319090083,0.7463,0.5028,681,322,5322,5681,1003
