snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization
9,2005_2017,6,1,0.0009940725895564537,0.23097915463828841,0.8702,0.5051,604,321,3739,4022
9,2005_2017,8,1,0.0015118824883306483,0.2427063694714853,0.8507,0.5044,562,383,3739,3918
9,2005_2017,10,1,0.001949280476160388,0.24835953688641682,0.8410,0.5032,561,400,3739,3900
9,2005_2017,2,2,0.0002998445430734732,0.5860862196482038,0.9504,0.5041,16,1377,3739,2378
9,2005_2017,4,2,0.00047365992255702315,0.23442760406758395,0.9056,0.5010,649,306,3739,4082
9,2005_2017,6,2,0.0009542340341109876,0.23196844275532608,0.8708,0.5061,643,300,3739,4082
9,2005_2017,8,2,0.0014571264303760829,0.2394223869762818,0.8517,0.5020,625,334,3739,4030
9,2005_2017,10,2,0.0018049087547473898,0.24839753873960352,0.8342,0.5060,600,377,3739,3962
9,2005_2017,2,3,1,1,0,1,MAX,MAX,NA,NA
9,2005_2017,4,3,0.0005080817087546803,0.23461851115660745,0.9052,0.5011,645,309,3739,4075
9,2005_2017,6,3,0.0009815047953238567,0.23111849109669372,0.8717,0.5053,600,324,3739,4015
9,2005_2017,8,3,0.001509201641175558,0.2386304137623877,0.8517,0.5059,580,359,3739,3960
9,2005_2017,10,3,0.0018296257604851383,0.23683978836211117,0.8354,0.5049,561,364,3739,3936
9,2005_2017,2,4,1,1,0,1,MAX,MAX,NA,NA
9,2005_2017,4,4,0.0005725307962066085,0.2423468422756119,0.9064,0.5010,678,314,3739,4103
9,2005_2017,6,4,0.0009992158322117413,0.23585706502875067,0.8702,0.5034,628,322,3739,4045
9,2005_2017,8,4,0.001376466013463332,0.24148802787958912,0.8518,0.5049,576,371,3739,3944
9,2005_2017,10,4,0.0016970178761818086,0.24448795505434864,0.8371,0.5048,544,399,3739,3884
