data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.1589312645454,0.158620077571076,0.159242451519723,0.0196604862751217,9,462,278,2668,540,471,847,2946,1,10,1,78,569
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.615885740293168,0.615681480309078,0.616090000277261,0.000629812635004968,0,643,376,3467,1673,643,4576,3843,1,10,1,1030,4200
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.60427479904546,0.604036361830554,0.604513236260367,0.0120218179412732,7,613,361,3263,1541,620,4068,3624,1,10,1,928,3707
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.409063701342558,0.408882379653075,0.409245023032041,0.000388672451437914,0,989,853,2731,1673,989,4576,3584,1,4,1,684,3723
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.484715899502353,0.484529943313946,0.484901855690756,0.000506151768699512,0,465,232,2161,902,465,1702,2393,1,10,1,437,1470
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.393708937390757,0.393518663338854,0.393899211442661,0.000399267089828036,0,1079,971,3018,1779,1079,5128,3989,1,4,1,700,4157
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.617827934605968,0.61770571280574,0.617950156406195,0.000491092981438214,0,502,241,2086,1313,502,3146,2327,1,10,1,811,2905
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,6,tanga,ad2,0.416187182060657,0.415999664797081,0.416374699324231,0.000404673143688774,0,900,775,2448,1541,900,4068,3223,1,4,1,641,3293
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0471459103400585,0.0465294924554185,0.0477623282246985,0.000896792307076372,0,515,432,4227,540,515,847,4659,1,10,1,25,415
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0593958473850076,0.0593278463648834,0.0594638484051317,0.000147488403062228,0,508,547,520,540,508,847,1067,1,2,1,32,300
